"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "XML", "JSON with Comments", "comment", "blank", "total"
"/home/haywae/projects/wxc/wxc-client/package-lock.json", "JSON", 0, 0, 234, 0, 0, 0, 0, 0, 234
"/home/haywae/projects/wxc/wxc-client/package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/haywae/projects/wxc/wxc-client/src/App.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 5, 6
"/home/haywae/projects/wxc/wxc-client/src/appConfig.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 3, 7
"/home/haywae/projects/wxc/wxc-client/src/assets/countries.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 6, 6, 33
"/home/haywae/projects/wxc/wxc-client/src/assets/currencies.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 3, 186
"/home/haywae/projects/wxc/wxc-client/src/assets/default-avatar.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/haywae/projects/wxc/wxc-client/src/assets/icons.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 25, 0, 68
"/home/haywae/projects/wxc/wxc-client/src/assets/text.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/haywae/projects/wxc/wxc-client/src/components/comments/comment.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/haywae/projects/wxc/wxc-client/src/components/comments/comment.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 0, 4, 15, 110
"/home/haywae/projects/wxc/wxc-client/src/components/comments/commentOptionsMenu.tsx", "TypeScript JSX", 0, 98, 0, 0, 0, 0, 3, 9, 110
"/home/haywae/projects/wxc/wxc-client/src/components/common/cDropdown.css", "PostCSS", 0, 0, 0, 60, 0, 0, 0, 8, 68
"/home/haywae/projects/wxc/wxc-client/src/components/common/countryDropdown.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 12, 10, 89
"/home/haywae/projects/wxc/wxc-client/src/components/common/globalLoading.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, -1, 0, 0
"/home/haywae/projects/wxc/wxc-client/src/components/common/modal.css", "PostCSS", 0, 0, 0, 40, 0, 0, 0, 5, 45
"/home/haywae/projects/wxc/wxc-client/src/components/common/modal.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 1, 4, 40
"/home/haywae/projects/wxc/wxc-client/src/components/common/withAuth.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 1, -1, 4
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/converter.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 25, 8, 144
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/currencyDropdown.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 25, 8, 101
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/currencyInput.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 34, 8, 99
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/editExchangeModal.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 1, 7, 71
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/ratesCardSkeleton.css", "PostCSS", 0, 0, 0, 30, 0, 0, 6, 8, 44
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/ratesCardSkeleton.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 3, 3, 29
"/home/haywae/projects/wxc/wxc-client/src/components/exchange/ratesTable.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 16, 3, 86
"/home/haywae/projects/wxc/wxc-client/src/components/layout/header.css", "PostCSS", 0, 0, 0, -88, 0, 0, -6, -13, -107
"/home/haywae/projects/wxc/wxc-client/src/components/layout/header.tsx", "TypeScript JSX", 0, -57, 0, 0, 0, 0, -5, -8, -70
"/home/haywae/projects/wxc/wxc-client/src/components/layout/leftSideBar.css", "PostCSS", 0, 0, 0, -4, 0, 0, 0, 0, -4
"/home/haywae/projects/wxc/wxc-client/src/components/layout/leftSideBar.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, 1, 0
"/home/haywae/projects/wxc/wxc-client/src/components/layout/mobileHeader.css", "PostCSS", 0, 0, 0, 92, 0, 0, 9, 16, 117
